Subject,CERiT,Simbad,ASAS-SN Photometry
24580029,https://wasp.cerit-sc.cz/search?objid=J002600.49-720606.8&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A26%3A00.49+-72%3A06%3A06.8&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A26%3A00.49&dec=-72%3A06%3A06.8&radius=2
22116654,https://wasp.cerit-sc.cz/search?objid=J002135.52-741343.9&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A21%3A35.52+-74%3A13%3A43.9&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A21%3A35.52&dec=-74%3A13%3A43.9&radius=2
24578976,https://wasp.cerit-sc.cz/search?objid=J002517.13%2B431616.5&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A25%3A17.13+%2B43%3A16%3A16.5&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A25%3A17.13&dec=%2B43%3A16%3A16.5&radius=2
22999243,No match,No match,No match
21813576,https://wasp.cerit-sc.cz/search?objid=J000003.85-755732.0&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A00%3A03.85+-75%3A57%3A32.0&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A00%3A03.85&dec=-75%3A57%3A32.0&radius=2
22105774,https://wasp.cerit-sc.cz/search?objid=J000130.16%2B535026.5&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A01%3A30.16+%2B53%3A50%3A26.5&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A01%3A30.16&dec=%2B53%3A50%3A26.5&radius=2
24583497,https://wasp.cerit-sc.cz/search?objid=J002859.28-530606.1&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A28%3A59.28+-53%3A06%3A06.1&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A28%3A59.28&dec=-53%3A06%3A06.1&radius=2
24699463,https://wasp.cerit-sc.cz/search?objid=J005918.01%2B404751.9&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A59%3A18.01+%2B40%3A47%3A51.9&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A59%3A18.01&dec=%2B40%3A47%3A51.9&radius=2
24583656,https://wasp.cerit-sc.cz/search?objid=J002906.93%2B411234.3&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A29%3A06.93+%2B41%3A12%3A34.3&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A29%3A06.93&dec=%2B41%3A12%3A34.3&radius=2
24702482,https://wasp.cerit-sc.cz/search?objid=J005959.81%2B403009.5&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A59%3A59.81+%2B40%3A30%3A09.5&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A59%3A59.81&dec=%2B40%3A30%3A09.5&radius=2
24631060,https://wasp.cerit-sc.cz/search?objid=J003827.18%2B410333.9&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A38%3A27.18+%2B41%3A03%3A33.9&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A38%3A27.18&dec=%2B41%3A03%3A33.9&radius=2
